Year,Series,REF_AREA,SEX,INCOME_WEALTH_QUANTILE,Units,Value
2020,SI_COV_BENFTS,,,,PT,17.0
2020,SI_COV_CHLD,,,,PT,22.9
2020,SI_COV_DISAB,,,,PT,13.7
2020,SI_COV_MATNL,,F,,PT,9.8
2000,SI_COV_PENSN,,,,PT,33.0
2010,SI_COV_PENSN,,,,PT,62.5
2020,SI_COV_PENSN,,,,PT,84.2
2018,SI_COV_POOR,,,,PT,70.1
2010,SI_COV_SOCAST,,,,PT,40.13761
2010,SI_COV_SOCAST,,,Q1,PT,48.9455
2010,SI_COV_SOCINS,,,,PT,5.25896
2010,SI_COV_SOCINS,,,Q1,PT,0.56878
2020,SI_COV_UEMP,,,,PT,0.0
2020,SI_COV_UEMP,,F,,PT,0.0
2020,SI_COV_UEMP,,M,,PT,0.0
2020,SI_COV_VULN,,,,PT,14.8
2019,SI_COV_WKINJRY,,,,PT,3.8
2020,SI_COV_WKINJRY,,,,PT,4.5
