Year,PRODUCT,Value
2005,,51.73517
2010,,66.05191
2015,,77.80513
2016,,75.77382
2017,,77.73469
2018,,78.56996
2005,AGG_AGR,35.45455
2010,AGG_AGR,77.54011
2015,AGG_AGR,89.53488
2016,AGG_AGR,89.69072
2017,AGG_AGR,88.69396
2018,AGG_AGR,88.38583
2005,AGG_ARMS,50.0
2010,AGG_ARMS,33.33333
2015,AGG_ARMS,75.0
2016,AGG_ARMS,100.0
2017,AGG_ARMS,75.0
2018,AGG_ARMS,75.0
2005,AGG_CLTH,57.79543
2010,AGG_CLTH,60.23622
2015,AGG_CLTH,69.27711
2016,AGG_CLTH,63.95939
2017,AGG_CLTH,67.85174
2018,AGG_CLTH,67.44731
2005,AGG_IND,52.27964
2010,AGG_IND,70.20072
2015,AGG_IND,83.66788
2016,AGG_IND,83.85965
2017,AGG_IND,84.06828
2018,AGG_IND,84.65534
2005,AGG_TXT,49.33333
2010,AGG_TXT,59.97506
2015,AGG_TXT,70.68404
2016,AGG_TXT,69.23077
2017,AGG_TXT,71.53361
2018,AGG_TXT,74.79079
