Year,Series,REF_AREA,URBANISATION,Units,Value
2011,EN_ATM_PM25,,,GPERM3,63.66553
2012,EN_ATM_PM25,,,GPERM3,69.51924
2013,EN_ATM_PM25,,,GPERM3,73.94074
2014,EN_ATM_PM25,,,GPERM3,80.82924
2015,EN_ATM_PM25,,,GPERM3,76.65568
2016,EN_ATM_PM25,,,GPERM3,81.57073
2011,EN_ATM_PM25,,R,GPERM3,61.72673
2012,EN_ATM_PM25,,R,GPERM3,67.4087
2013,EN_ATM_PM25,,R,GPERM3,71.20913
2014,EN_ATM_PM25,,R,GPERM3,77.31524
2015,EN_ATM_PM25,,R,GPERM3,73.70722
2016,EN_ATM_PM25,,R,GPERM3,77.72058
2011,EN_ATM_PM25,,U,GPERM3,68.26213
2012,EN_ATM_PM25,,U,GPERM3,74.53264
2013,EN_ATM_PM25,,U,GPERM3,79.84819
2014,EN_ATM_PM25,,U,GPERM3,87.72419
2015,EN_ATM_PM25,,U,GPERM3,82.01111
2016,EN_ATM_PM25,,U,GPERM3,87.97278
