Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SERIES,UNIT_MEASURE,Value
2000,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2010,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2015,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2016,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2017,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2018,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2019,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2020,0,C,Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,172.23
2000,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,0.0
2005,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,14.145
2010,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,14.145
2015,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,0.0
2016,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,0.0
2017,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,0.0
2018,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,0.0
2019,3,G,Obs_Value = 0;,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,12.282
2010,0,C,Obs_Value = 0;  Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTCHG,PT,0.31
2015,0,C,Obs_Value = 0;  Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTCHG,PT,0.0
2020,0,C,Obs_Value = 0;  Official country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTCHG,PT,0.0
2000,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,13.69
2010,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,20.12
2015,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,20.3
2016,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,20.3
2017,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,21.99
2018,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,21.99
2019,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,24.3
2020,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,24.23
2000,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,44.99
2010,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,56.46
2015,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,56.46
2016,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,56.46
2017,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,56.46
2018,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,57.73
2019,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,57.73
2020,0,C,Country data submitted to FAO,"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,57.73
