Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,Value
2012,"Obs_Value = 0;  ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",https://absch.cbd.int/countries,ER_CBD_ABSCLRHS,0
2012,"Parties  refers to Parties to the Convention on Biological Diversity that have ratified, accepted, approved or acceded the Nagoya Protocol, including those for which the Protocol has not yet entered into force following the 90 days period set out in Article 33.2 of the Protocol. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.","https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International Treaty on PGRFA http://faoitpgrfa.ort-production.linode.unep-wcmc.org and  Easy-SMTA https://mls.planttreaty.org ,",ER_CBD_NAGOYA,1
2016,Obs_Value = 0;,Secretariat of the Convention on Biological Diversity (CBD),ER_CBD_ORSPGRFA,0
2017,Obs_Value = 0;,Secretariat of the Convention on Biological Diversity (CBD),ER_CBD_ORSPGRFA,0
2018,Obs_Value = 0;,Secretariat of the Convention on Biological Diversity (CBD),ER_CBD_ORSPGRFA,0
2019,Obs_Value = 0;,Secretariat of the Convention on Biological Diversity (CBD),ER_CBD_ORSPGRFA,1
2012,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2013,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2014,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2015,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2016,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2017,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2018,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2019,,ITPGRFA Secretariat,ER_CBD_PTYPGRFA,1
2012,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,256
2013,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,346
2014,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,387
2015,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,488
2016,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,520
2017,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,552
2018,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,571
2019,Cumulative value.,ITPGRFA Secretariat,ER_CBD_SMTA,573
