Year,Series,REF_AREA,Units,Value
2002,DC_ODA_BDVL,524,CON_USD,26.83378
2003,DC_ODA_BDVL,524,CON_USD,13.68649
2004,DC_ODA_BDVL,524,CON_USD,9.47747
2005,DC_ODA_BDVL,524,CON_USD,2.00487
2006,DC_ODA_BDVL,524,CON_USD,3.45734
2007,DC_ODA_BDVL,524,CON_USD,7.49093
2008,DC_ODA_BDVL,524,CON_USD,18.64721
2009,DC_ODA_BDVL,524,CON_USD,6.9075
2010,DC_ODA_BDVL,524,CON_USD,30.2173
2011,DC_ODA_BDVL,524,CON_USD,50.48495
2012,DC_ODA_BDVL,524,CON_USD,10.95123
2013,DC_ODA_BDVL,524,CON_USD,37.38919
2014,DC_ODA_BDVL,524,CON_USD,26.16435
2015,DC_ODA_BDVL,524,CON_USD,18.30768
2016,DC_ODA_BDVL,524,CON_USD,33.25301
2017,DC_ODA_BDVL,524,CON_USD,19.24385
2018,DC_ODA_BDVL,524,CON_USD,23.63437
