Year,Series,REF_AREA,SEX,AGE,Units,Value
2007,VC_HTF_DETV,,,,NUMBER,147
2008,VC_HTF_DETV,,,,NUMBER,145
2009,VC_HTF_DETV,,,,NUMBER,197
2010,VC_HTF_DETV,,,,NUMBER,193
2011,VC_HTF_DETV,,,,NUMBER,141
2012,VC_HTF_DETV,,,,NUMBER,271
2013,VC_HTF_DETV,,,,NUMBER,237
2014,VC_HTF_DETV,,,,NUMBER,266
2016,VC_HTF_DETV,,,,NUMBER,350
2018,VC_HTF_DETVFL,,F,,NUMBER,141
2018,VC_HTF_DETVFL,,F,Y_GE18,NUMBER,115
2018,VC_HTF_DETVFL,,F,Y0T17,NUMBER,26
2018,VC_HTF_DETVFL,,M,,NUMBER,98
2018,VC_HTF_DETVFL,,M,Y_GE18,NUMBER,56
2018,VC_HTF_DETVFL,,M,Y0T17,NUMBER,42
