Year,SOURCE_DETAIL,SERIES,COMPOSITE_BREAKDOWN,COMMENT_OBS,Value
2000,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.69492
2005,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.5625
2010,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.49254
2015,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.49254
2016,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.493
2017,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.493
2018,ADB Financial Report 2056,SG_INT_MBRDEV,IO_ADB,,1.493
2015,Report of the Economic and Social Council for 2015 (A/70/3),SG_INT_MBRDEV,IO_ECOSOC,,1.85185
2000,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.54945
2005,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.54348
2010,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.53476
2015,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.53191
2016,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.53191
2017,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.5291
2018,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.5291
2019,IBRD Financial Statements June 2134,SG_INT_MBRDEV,IO_IBRD,,0.529
2000,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.57471
2005,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.5618
2010,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.54945
2015,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.54348
2016,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.54348
2017,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.54348
2018,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.54348
2019,IFC Annual Report  Financial Statements,SG_INT_MBRDEV,IO_IFC,,0.543
2000,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.5618
2005,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.55249
2010,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.54945
2015,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.53191
2016,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.53191
2017,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.5291
2018,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.5291
2019,IMF Annual Report 2019,SG_INT_MBRDEV,IO_IMF,,0.529
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.52083
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.51813
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.51813
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.51813
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.51813
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,IO_UNGA,,0.518
2000,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.0
2005,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.67114
2010,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.65359
2015,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.625
2016,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.61728
2017,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.60976
2018,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.60976
2019,WTO Annual Report 2019,SG_INT_MBRDEV,IO_WTO,Obs_Value = 0;,0.61
2000,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.459
2005,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.431
2010,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.432
2015,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.416
2016,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.416
2017,ADB Financial Report 2056,SG_INT_VRTDEV,IO_ADB,,0.416
