Year,Series,REF_AREA,PRODUCT,Units,Value
2005,TM_TAX_WMFN,524,,PT,14.18
2010,TM_TAX_WMFN,524,,PT,12.95
2015,TM_TAX_WMFN,524,,PT,15.23
2016,TM_TAX_WMFN,524,,PT,11.38
2017,TM_TAX_WMFN,524,,PT,13.8
2018,TM_TAX_WMFN,524,,PT,14.14
2005,TM_TAX_WMFN,524,AGG_AGR,PT,10.35
2010,TM_TAX_WMFN,524,AGG_AGR,PT,12.79
2015,TM_TAX_WMFN,524,AGG_AGR,PT,13.74
2016,TM_TAX_WMFN,524,AGG_AGR,PT,12.75
2017,TM_TAX_WMFN,524,AGG_AGR,PT,12.8
2018,TM_TAX_WMFN,524,AGG_AGR,PT,13.59
2005,TM_TAX_WMFN,524,AGG_ARMS,PT,79.69
2010,TM_TAX_WMFN,524,AGG_ARMS,PT,80.0
2015,TM_TAX_WMFN,524,AGG_ARMS,PT,79.98
2016,TM_TAX_WMFN,524,AGG_ARMS,PT,80.0
2017,TM_TAX_WMFN,524,AGG_ARMS,PT,80.0
2018,TM_TAX_WMFN,524,AGG_ARMS,PT,80.0
2005,TM_TAX_WMFN,524,AGG_CLTH,PT,24.9
2010,TM_TAX_WMFN,524,AGG_CLTH,PT,19.99
2015,TM_TAX_WMFN,524,AGG_CLTH,PT,19.99
2016,TM_TAX_WMFN,524,AGG_CLTH,PT,19.98
2017,TM_TAX_WMFN,524,AGG_CLTH,PT,19.97
2018,TM_TAX_WMFN,524,AGG_CLTH,PT,19.97
2005,TM_TAX_WMFN,524,AGG_IND,PT,14.37
2010,TM_TAX_WMFN,524,AGG_IND,PT,12.86
2015,TM_TAX_WMFN,524,AGG_IND,PT,15.56
2016,TM_TAX_WMFN,524,AGG_IND,PT,10.79
2017,TM_TAX_WMFN,524,AGG_IND,PT,14.05
2018,TM_TAX_WMFN,524,AGG_IND,PT,14.29
2005,TM_TAX_WMFN,524,AGG_OIL,PT,10.0
2016,TM_TAX_WMFN,524,AGG_OIL,PT,10.0
2017,TM_TAX_WMFN,524,AGG_OIL,PT,10.0
2018,TM_TAX_WMFN,524,AGG_OIL,PT,10.0
2005,TM_TAX_WMFN,524,AGG_TXT,PT,9.34
2010,TM_TAX_WMFN,524,AGG_TXT,PT,11.21
2015,TM_TAX_WMFN,524,AGG_TXT,PT,11.31
2016,TM_TAX_WMFN,524,AGG_TXT,PT,11.12
2017,TM_TAX_WMFN,524,AGG_TXT,PT,10.24
2018,TM_TAX_WMFN,524,AGG_TXT,PT,10.29
2005,TM_TAX_WMPS,524,,PT,14.09
2010,TM_TAX_WMPS,524,,PT,12.68
2015,TM_TAX_WMPS,524,,PT,14.5
2016,TM_TAX_WMPS,524,,PT,10.68
2017,TM_TAX_WMPS,524,,PT,13.15
2018,TM_TAX_WMPS,524,,PT,13.46
2005,TM_TAX_WMPS,524,AGG_AGR,PT,10.3
2010,TM_TAX_WMPS,524,AGG_AGR,PT,12.58
2015,TM_TAX_WMPS,524,AGG_AGR,PT,12.89
2016,TM_TAX_WMPS,524,AGG_AGR,PT,11.85
2017,TM_TAX_WMPS,524,AGG_AGR,PT,11.99
2018,TM_TAX_WMPS,524,AGG_AGR,PT,12.71
2005,TM_TAX_WMPS,524,AGG_ARMS,PT,79.69
2010,TM_TAX_WMPS,524,AGG_ARMS,PT,68.48
2015,TM_TAX_WMPS,524,AGG_ARMS,PT,28.53
2016,TM_TAX_WMPS,524,AGG_ARMS,PT,11.25
2017,TM_TAX_WMPS,524,AGG_ARMS,PT,79.99
2018,TM_TAX_WMPS,524,AGG_ARMS,PT,79.99
2005,TM_TAX_WMPS,524,AGG_CLTH,PT,24.9
2010,TM_TAX_WMPS,524,AGG_CLTH,PT,19.99
2015,TM_TAX_WMPS,524,AGG_CLTH,PT,19.98
2016,TM_TAX_WMPS,524,AGG_CLTH,PT,19.95
2017,TM_TAX_WMPS,524,AGG_CLTH,PT,19.93
2018,TM_TAX_WMPS,524,AGG_CLTH,PT,19.93
2005,TM_TAX_WMPS,524,AGG_IND,PT,14.26
2010,TM_TAX_WMPS,524,AGG_IND,PT,12.62
2015,TM_TAX_WMPS,524,AGG_IND,PT,14.93
2016,TM_TAX_WMPS,524,AGG_IND,PT,10.22
2017,TM_TAX_WMPS,524,AGG_IND,PT,13.44
2018,TM_TAX_WMPS,524,AGG_IND,PT,13.67
2005,TM_TAX_WMPS,524,AGG_OIL,PT,10.0
2016,TM_TAX_WMPS,524,AGG_OIL,PT,6.53
2017,TM_TAX_WMPS,524,AGG_OIL,PT,6.0
2018,TM_TAX_WMPS,524,AGG_OIL,PT,6.0
2005,TM_TAX_WMPS,524,AGG_TXT,PT,9.24
2010,TM_TAX_WMPS,524,AGG_TXT,PT,10.05
2015,TM_TAX_WMPS,524,AGG_TXT,PT,10.08
2016,TM_TAX_WMPS,524,AGG_TXT,PT,10.16
2017,TM_TAX_WMPS,524,AGG_TXT,PT,9.28
2018,TM_TAX_WMPS,524,AGG_TXT,PT,9.32
