Year,SERIES,PRODUCT,UNIT_MEASURE,Value
2000,TM_TAX_DMFN,,PT,6.92531
2005,TM_TAX_DMFN,,PT,6.25313
2010,TM_TAX_DMFN,,PT,6.1825
2011,TM_TAX_DMFN,,PT,6.18238
2012,TM_TAX_DMFN,,PT,6.36848
2013,TM_TAX_DMFN,,PT,6.36717
2014,TM_TAX_DMFN,,PT,6.33957
2015,TM_TAX_DMFN,,PT,6.34105
2016,TM_TAX_DMFN,,PT,6.33107
2017,TM_TAX_DMFN,,PT,6.179
2018,TM_TAX_DMFN,,PT,6.31693
2000,TM_TAX_DMFN,AGG_AGR,PT,3.46175
2005,TM_TAX_DMFN,AGG_AGR,PT,3.9354
2010,TM_TAX_DMFN,AGG_AGR,PT,4.43889
2011,TM_TAX_DMFN,AGG_AGR,PT,4.38648
2012,TM_TAX_DMFN,AGG_AGR,PT,3.94934
2013,TM_TAX_DMFN,AGG_AGR,PT,3.98802
2014,TM_TAX_DMFN,AGG_AGR,PT,3.98503
2015,TM_TAX_DMFN,AGG_AGR,PT,3.97345
2016,TM_TAX_DMFN,AGG_AGR,PT,4.10699
2017,TM_TAX_DMFN,AGG_AGR,PT,3.61612
2018,TM_TAX_DMFN,AGG_AGR,PT,3.67105
2000,TM_TAX_DMFN,AGG_ARMS,PT,2.46399
2005,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2010,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2011,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2012,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2013,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2014,TM_TAX_DMFN,AGG_ARMS,PT,1.55737
2015,TM_TAX_DMFN,AGG_ARMS,PT,1.55737
2016,TM_TAX_DMFN,AGG_ARMS,PT,1.55735
2017,TM_TAX_DMFN,AGG_ARMS,PT,1.22688
2018,TM_TAX_DMFN,AGG_ARMS,PT,1.55734
2000,TM_TAX_DMFN,AGG_CLTH,PT,11.49487
2005,TM_TAX_DMFN,AGG_CLTH,PT,10.47261
2010,TM_TAX_DMFN,AGG_CLTH,PT,10.39069
2011,TM_TAX_DMFN,AGG_CLTH,PT,10.39065
2012,TM_TAX_DMFN,AGG_CLTH,PT,10.3907
2013,TM_TAX_DMFN,AGG_CLTH,PT,10.38198
2014,TM_TAX_DMFN,AGG_CLTH,PT,10.38116
2015,TM_TAX_DMFN,AGG_CLTH,PT,10.32755
2016,TM_TAX_DMFN,AGG_CLTH,PT,10.32676
2017,TM_TAX_DMFN,AGG_CLTH,PT,10.13377
2018,TM_TAX_DMFN,AGG_CLTH,PT,10.33233
2000,TM_TAX_DMFN,AGG_IND,PT,2.97075
2005,TM_TAX_DMFN,AGG_IND,PT,2.31926
2010,TM_TAX_DMFN,AGG_IND,PT,2.24529
2011,TM_TAX_DMFN,AGG_IND,PT,2.24524
2012,TM_TAX_DMFN,AGG_IND,PT,2.66256
2013,TM_TAX_DMFN,AGG_IND,PT,2.66829
2014,TM_TAX_DMFN,AGG_IND,PT,2.60759
2015,TM_TAX_DMFN,AGG_IND,PT,2.66386
2016,TM_TAX_DMFN,AGG_IND,PT,2.63841
2017,TM_TAX_DMFN,AGG_IND,PT,2.50534
2018,TM_TAX_DMFN,AGG_IND,PT,2.60226
2000,TM_TAX_DMFN,AGG_TXT,PT,4.19712
2005,TM_TAX_DMFN,AGG_TXT,PT,4.97401
2010,TM_TAX_DMFN,AGG_TXT,PT,4.96091
2011,TM_TAX_DMFN,AGG_TXT,PT,4.96075
