Year,Series,REF_AREA,Units,Value
1990,GF_FRN_FDI,,USD,5.94
1991,GF_FRN_FDI,,USD,2.22
1996,GF_FRN_FDI,,USD,19.16
1997,GF_FRN_FDI,,USD,23.06
1998,GF_FRN_FDI,,USD,12.0247
1999,GF_FRN_FDI,,USD,4.35107
2000,GF_FRN_FDI,,USD,-0.48483
2001,GF_FRN_FDI,,USD,20.85
2002,GF_FRN_FDI,,USD,-5.95254
2003,GF_FRN_FDI,,USD,1.78615
2004,GF_FRN_FDI,,USD,-0.41735
2005,GF_FRN_FDI,,USD,2.45178
2006,GF_FRN_FDI,,USD,-6.64798
2007,GF_FRN_FDI,,USD,5.89024
2008,GF_FRN_FDI,,USD,1.01058
2009,GF_FRN_FDI,,USD,38.54543
2010,GF_FRN_FDI,,USD,86.62561
2011,GF_FRN_FDI,,USD,95.48636
2012,GF_FRN_FDI,,USD,91.97774
2013,GF_FRN_FDI,,USD,71.25147
2014,GF_FRN_FDI,,USD,30.18815
2015,GF_FRN_FDI,,USD,51.55796
2016,GF_FRN_FDI,,USD,106.01877
2017,GF_FRN_FDI,,USD,129.2096
2018,GF_FRN_FDI,,USD,160.77114
