Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2001,SH_STA_WAST,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,11.32216
2006,SH_STA_WAST,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,12.6926
2011,SH_STA_WAST,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,11.15965
2014,SH_STA_WAST,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,11.26258
2016,SH_STA_WAST,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,9.63605
2001,SH_STA_WASTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,407.72953
2006,SH_STA_WASTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,411.63814
2011,SH_STA_WASTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,332.94506
2014,SH_STA_WASTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,317.96342
2016,SH_STA_WASTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,266.83784
2001,SN_STA_OVWGT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,0.7
2006,SN_STA_OVWGT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,0.6
2011,SN_STA_OVWGT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,1.5
2014,SN_STA_OVWGT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,2.1
2016,SN_STA_OVWGT,,None,Y0T4,None,None,None,None,None,None,None,None,None,PT,1.2
2001,SN_STA_OVWGTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,24.1039
2006,SN_STA_OVWGTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,19.93786
2011,SN_STA_OVWGTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,46.23215
2014,SN_STA_OVWGTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,59.80126
2016,SN_STA_OVWGTN,,None,Y0T4,None,None,None,None,None,None,None,None,None,NUMBER,32.52635
