Year,SOURCE_DETAIL,SERIES,UNIT_MEASURE,COMMENT_OBS,Value
2002,UNSD national account estimates.,AG_PRD_AGVAS,PT,,36.1503
2003,UNSD national account estimates.,AG_PRD_AGVAS,PT,,35.10608
2004,UNSD national account estimates.,AG_PRD_AGVAS,PT,,34.67636
2005,UNSD national account estimates.,AG_PRD_AGVAS,PT,,33.8249
2006,UNSD national account estimates.,AG_PRD_AGVAS,PT,,32.36654
2007,UNSD national account estimates.,AG_PRD_AGVAS,PT,,31.16441
2008,UNSD national account estimates.,AG_PRD_AGVAS,PT,,30.30572
2009,UNSD national account estimates.,AG_PRD_AGVAS,PT,,31.32265
2010,UNSD national account estimates.,AG_PRD_AGVAS,PT,,33.17949
2011,UNSD national account estimates.,AG_PRD_AGVAS,PT,,34.97926
2012,UNSD national account estimates.,AG_PRD_AGVAS,PT,,33.14809
2013,UNSD national account estimates.,AG_PRD_AGVAS,PT,,31.53462
2014,UNSD national account estimates.,AG_PRD_AGVAS,PT,,30.26714
2015,UNSD national account estimates.,AG_PRD_AGVAS,PT,,29.38292
2016,UNSD national account estimates.,AG_PRD_AGVAS,PT,,29.1492
2017,UNSD national account estimates.,AG_PRD_AGVAS,PT,,27.08417
2018,UNSD national account estimates.,AG_PRD_AGVAS,PT,,25.29236
2002,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.16339
2003,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.13877
2004,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.13986
2005,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.24323
2006,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.14738
2007,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.1374
2008,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.13563
2009,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.21903
2010,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.26008
2011,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.31883
2012,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.23666
2013,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.25513
2014,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.30729
2015,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.30193
2016,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.32679
2017,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.3901
2018,FAO Questionnaire. UNSD national account estimates.,AG_PRD_ORTIND,IX,Budgetary Central Government,0.26252
2002,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,5.90648
2003,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,4.87181
2004,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,4.84992
2005,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,8.22728
2006,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,4.77029
2007,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,4.28196
2008,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,4.11038
2009,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,6.86073
2010,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,8.62925
2011,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,11.1525
2012,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,7.84481
2013,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,8.04544
2014,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,9.30073
2015,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,8.87166
2016,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,9.52572
2017,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,10.56541
2018,FAO Questionnaire. UNSD national account estimates.,AG_XPD_AGSGB,PT,Budgetary Central Government,6.63971
