Year,Series,Units,Value
2000,DC_TOF_AGRL,CON_USD,72.77813
2001,DC_TOF_AGRL,CON_USD,100.51396
2002,DC_TOF_AGRL,CON_USD,57.92799
2003,DC_TOF_AGRL,CON_USD,41.15085
2004,DC_TOF_AGRL,CON_USD,44.39379
2005,DC_TOF_AGRL,CON_USD,31.94054
2006,DC_TOF_AGRL,CON_USD,29.0966
2007,DC_TOF_AGRL,CON_USD,34.54234
2008,DC_TOF_AGRL,CON_USD,34.72786
2009,DC_TOF_AGRL,CON_USD,53.45048
2010,DC_TOF_AGRL,CON_USD,102.29638
2011,DC_TOF_AGRL,CON_USD,116.43935
2012,DC_TOF_AGRL,CON_USD,108.14176
2013,DC_TOF_AGRL,CON_USD,76.2267
2014,DC_TOF_AGRL,CON_USD,84.4955
2015,DC_TOF_AGRL,CON_USD,106.69335
2016,DC_TOF_AGRL,CON_USD,116.06157
2017,DC_TOF_AGRL,CON_USD,142.01626
2018,DC_TOF_AGRL,CON_USD,90.72318
