Year,Series,SEX,AGE,Units,Value
2000,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,59.9
2001,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,57.0
2002,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,54.3
2003,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,51.7
2004,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,49.3
2005,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,47.0
2006,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,44.8
2007,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,42.7
2008,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,40.8
2009,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,38.9
2010,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,37.1
2011,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,35.5
2012,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,33.8
2013,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,32.3
2014,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,30.9
2015,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,29.7
2016,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,28.5
2017,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,27.4
2018,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,26.5
2019,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,25.6
2000,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,55.8
2001,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,53.0
2002,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,50.5
2003,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,48.1
2004,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,45.7
2005,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,43.5
2006,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,41.4
2007,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,39.4
2008,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,37.5
2009,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,35.8
2010,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,34.1
2011,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,32.6
2012,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,31.0
2013,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,29.6
2014,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,28.3
2015,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,27.1
2016,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,26.0
2017,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,25.0
2018,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,24.1
2019,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,23.3
2000,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,63.8
2001,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,60.8
2002,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,57.9
2003,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,55.2
2004,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,52.7
2005,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,50.3
2006,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,48.1
2007,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,45.9
2008,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,43.8
2009,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,41.9
2010,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,40.0
2011,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,38.2
2012,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,36.5
2013,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,34.9
2014,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,33.4
2015,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,32.1
2016,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,30.9
2017,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,29.7
2018,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,28.7
2019,SH_DYN_IMRT,M,Y0,PER_1000_LIVE_BIRTHS,27.8
2000,SH_DYN_IMRTN,,Y0,NUMBER,44961.0
2001,SH_DYN_IMRTN,,Y0,NUMBER,42049.0
2002,SH_DYN_IMRTN,,Y0,NUMBER,39213.0
2003,SH_DYN_IMRTN,,Y0,NUMBER,36516.0
2004,SH_DYN_IMRTN,,Y0,NUMBER,33988.0
2005,SH_DYN_IMRTN,,Y0,NUMBER,31634.0
2006,SH_DYN_IMRTN,,Y0,NUMBER,29474.0
2007,SH_DYN_IMRTN,,Y0,NUMBER,27497.0
2008,SH_DYN_IMRTN,,Y0,NUMBER,25707.0
2009,SH_DYN_IMRTN,,Y0,NUMBER,24085.0
2010,SH_DYN_IMRTN,,Y0,NUMBER,22600.0
2011,SH_DYN_IMRTN,,Y0,NUMBER,21243.0
2012,SH_DYN_IMRTN,,Y0,NUMBER,20002.0
2013,SH_DYN_IMRTN,,Y0,NUMBER,18868.0
2014,SH_DYN_IMRTN,,Y0,NUMBER,17848.0
2015,SH_DYN_IMRTN,,Y0,NUMBER,16962.0
2016,SH_DYN_IMRTN,,Y0,NUMBER,16165.0
2017,SH_DYN_IMRTN,,Y0,NUMBER,15473.0
2018,SH_DYN_IMRTN,,Y0,NUMBER,14880.0
2019,SH_DYN_IMRTN,,Y0,NUMBER,14362.0
2000,SH_DYN_IMRTN,F,Y0,NUMBER,20209.0
2001,SH_DYN_IMRTN,F,Y0,NUMBER,18871.0
2002,SH_DYN_IMRTN,F,Y0,NUMBER,17591.0
2003,SH_DYN_IMRTN,F,Y0,NUMBER,16391.0
2004,SH_DYN_IMRTN,F,Y0,NUMBER,15246.0
2005,SH_DYN_IMRTN,F,Y0,NUMBER,14188.0
2006,SH_DYN_IMRTN,F,Y0,NUMBER,13218.0
2007,SH_DYN_IMRTN,F,Y0,NUMBER,12331.0
2008,SH_DYN_IMRTN,F,Y0,NUMBER,11526.0
2009,SH_DYN_IMRTN,F,Y0,NUMBER,10798.0
2010,SH_DYN_IMRTN,F,Y0,NUMBER,10128.0
2011,SH_DYN_IMRTN,F,Y0,NUMBER,9518.0
2012,SH_DYN_IMRTN,F,Y0,NUMBER,8944.0
2013,SH_DYN_IMRTN,F,Y0,NUMBER,8418.0
2014,SH_DYN_IMRTN,F,Y0,NUMBER,7945.0
2015,SH_DYN_IMRTN,F,Y0,NUMBER,7534.0
2016,SH_DYN_IMRTN,F,Y0,NUMBER,7156.0
2017,SH_DYN_IMRTN,F,Y0,NUMBER,6844.0
2018,SH_DYN_IMRTN,F,Y0,NUMBER,6557.0
2019,SH_DYN_IMRTN,F,Y0,NUMBER,6328.0
2000,SH_DYN_IMRTN,M,Y0,NUMBER,24752.0
2001,SH_DYN_IMRTN,M,Y0,NUMBER,23178.0
2002,SH_DYN_IMRTN,M,Y0,NUMBER,21622.0
2003,SH_DYN_IMRTN,M,Y0,NUMBER,20125.0
2004,SH_DYN_IMRTN,M,Y0,NUMBER,18742.0
2005,SH_DYN_IMRTN,M,Y0,NUMBER,17446.0
2006,SH_DYN_IMRTN,M,Y0,NUMBER,16256.0
2007,SH_DYN_IMRTN,M,Y0,NUMBER,15166.0
2008,SH_DYN_IMRTN,M,Y0,NUMBER,14181.0
2009,SH_DYN_IMRTN,M,Y0,NUMBER,13287.0
2010,SH_DYN_IMRTN,M,Y0,NUMBER,12472.0
2011,SH_DYN_IMRTN,M,Y0,NUMBER,11725.0
2012,SH_DYN_IMRTN,M,Y0,NUMBER,11058.0
2013,SH_DYN_IMRTN,M,Y0,NUMBER,10450.0
2014,SH_DYN_IMRTN,M,Y0,NUMBER,9903.0
2015,SH_DYN_IMRTN,M,Y0,NUMBER,9428.0
2016,SH_DYN_IMRTN,M,Y0,NUMBER,9009.0
2017,SH_DYN_IMRTN,M,Y0,NUMBER,8629.0
2018,SH_DYN_IMRTN,M,Y0,NUMBER,8323.0
2019,SH_DYN_IMRTN,M,Y0,NUMBER,8034.0
2000,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,81.0
2001,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,76.5
2002,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,72.2
2003,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,68.2
2004,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,64.5
2005,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,61.0
2006,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,57.7
2007,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,54.7
2008,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,51.8
2009,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,49.2
2010,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,46.6
2011,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,44.2
2012,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,42.0
2013,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,39.9
2014,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,37.9
2015,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,36.2
2016,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,34.6
2017,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,33.2
2018,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,31.9
2019,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,30.8
2000,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,78.9
2001,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,74.3
2002,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,70.0
2003,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,65.9
2004,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,62.1
2005,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,58.5
2006,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,55.2
2007,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,52.1
2008,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,49.2
2009,SH_DYN_MORT,F,Y0T4,PER_1000_LIVE_BIRTHS,46.6
