Year,SERIES,AGE,UNIT_MEASURE,Value
2000,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,40.4
2001,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,38.9
2002,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,37.4
2003,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,36.0
2004,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,34.6
2005,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,33.3
2006,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,32.0
2007,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,30.8
2008,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,29.6
2009,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,28.5
2010,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,27.3
2011,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,26.2
2012,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,25.2
2013,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,24.2
2014,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,23.3
2015,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,22.4
2016,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,21.7
2017,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,21.0
2018,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,20.4
2019,SH_DYN_NMRT,M0,PER_1000_LIVE_BIRTHS,19.8
2000,SH_DYN_NMRTN,M0,NUMBER,30395.0
2001,SH_DYN_NMRTN,M0,NUMBER,28702.0
2002,SH_DYN_NMRTN,M0,NUMBER,27002.0
2003,SH_DYN_NMRTN,M0,NUMBER,25338.0
2004,SH_DYN_NMRTN,M0,NUMBER,23802.0
2005,SH_DYN_NMRTN,M0,NUMBER,22336.0
2006,SH_DYN_NMRTN,M0,NUMBER,20995.0
2007,SH_DYN_NMRTN,M0,NUMBER,19779.0
2008,SH_DYN_NMRTN,M0,NUMBER,18642.0
2009,SH_DYN_NMRTN,M0,NUMBER,17588.0
2010,SH_DYN_NMRTN,M0,NUMBER,16603.0
2011,SH_DYN_NMRTN,M0,NUMBER,15694.0
2012,SH_DYN_NMRTN,M0,NUMBER,14861.0
2013,SH_DYN_NMRTN,M0,NUMBER,14109.0
2014,SH_DYN_NMRTN,M0,NUMBER,13429.0
2015,SH_DYN_NMRTN,M0,NUMBER,12827.0
2016,SH_DYN_NMRTN,M0,NUMBER,12299.0
2017,SH_DYN_NMRTN,M0,NUMBER,11847.0
2018,SH_DYN_NMRTN,M0,NUMBER,11470.0
2019,SH_DYN_NMRTN,M0,NUMBER,11128.0
