Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,_L_NP_03_08_01_01,,,PT,59.5
2015,_L_NP_03_08_01_01,,,PT,59.5
2018,_L_NP_03_08_01_01,,,PT,70.9
2019,_L_NP_03_08_01_01,,,PT,77.8
2020,_L_NP_03_08_01_01,,,PT,80.5
2022,_L_NP_03_08_01_01,,,PT,90.0
2015,_L_NP_03_08_01_02,,,PT,55.2
2018,_L_NP_03_08_01_02,,,PT,70.0
2019,_L_NP_03_08_01_02,,,PT,74.3
2020,_L_NP_03_08_01_02,,,PT,79.0
2022,_L_NP_03_08_01_02,,,PT,90.0
2015,_L_NP_03_08_01_03,,,PT,20.0
2018,_L_NP_03_08_01_03,,,PT,50.0
2019,_L_NP_03_08_01_03,,,PT,65.0
2020,_L_NP_03_08_01_03,,,PT,75.0
2022,_L_NP_03_08_01_03,,,PT,90.0
2015,_L_NP_03_08_01_04,,,PT,88.0
2018,_L_NP_03_08_01_04,,,PT,90.0
2019,_L_NP_03_08_01_04,,,PT,93.0
2020,_L_NP_03_08_01_04,,,PT,95.0
2022,_L_NP_03_08_01_04,,,PT,95.0
2015,_L_NP_03_08_01_05,,,PT,16.6
2018,_L_NP_03_08_01_05,,,PT,36.153846
2019,_L_NP_03_08_01_05,,,PT,46.923077
2020,_L_NP_03_08_01_05,,,PT,63.076923
2022,_L_NP_03_08_01_05,,,PT,90.0
2015,_L_NP_03_08_01_06,,,PT,39.9
2018,_L_NP_03_08_01_06,,,PT,90.0
2019,_L_NP_03_08_01_06,,,PT,91.7
2020,_L_NP_03_08_01_06,,,PT,93.3
2022,_L_NP_03_08_01_06,,,PT,95.0
2015,_L_NP_03_08_01_07,,,PT,11.7
2018,_L_NP_03_08_01_07,,,PT,31.25
2019,_L_NP_03_08_01_07,,,PT,38.75
2020,_L_NP_03_08_01_07,,,PT,50.0
2022,_L_NP_03_08_01_07,,,PT,60.0
2015,_L_NP_03_08_01_08,,,PT,25.0
2018,_L_NP_03_08_01_08,,,PT,33.076923
2019,_L_NP_03_08_01_08,,,PT,38.461538
2020,_L_NP_03_08_01_08,,,PT,46.538462
2022,_L_NP_03_08_01_08,,,PT,60.0
2015,_L_NP_03_08_01_09,,,PT,61.8
2018,_L_NP_03_08_01_09,,,PT,69.3
2019,_L_NP_03_08_01_09,,,PT,75.0
2020,_L_NP_03_08_01_09,,,PT,80.6
2022,_L_NP_03_08_01_09,,,PT,90.0
2015,_L_NP_03_08_01_10,,,PT,0.0
2018,_L_NP_03_08_01_10,,,PT,20.0
2019,_L_NP_03_08_01_10,,,PT,50.0
2020,_L_NP_03_08_01_10,,,PT,75.0
2022,_L_NP_03_08_01_10,,,PT,100.0
2014,_L_NP_03_08_01_11,,Y15T49,PT,68.3
2019,_L_NP_03_08_01_11,,Y15T49,PT,88.8
2019,_L_NP_03_08_01_11,NP1,Y15T49,PT,84.2
2019,_L_NP_03_08_01_11,NP2,Y15T49,PT,86.1
2019,_L_NP_03_08_01_11,NP3,Y15T49,PT,90.6
2019,_L_NP_03_08_01_11,NP4,Y15T49,PT,86.9
2019,_L_NP_03_08_01_11,NP5,Y15T49,PT,92.4
2019,_L_NP_03_08_01_11,NP6,Y15T49,PT,85.1
2019,_L_NP_03_08_01_11,NP7,Y15T49,PT,95.9
2014,_L_NP_03_08_01_12,,Y15T49,PT,59.5
2019,_L_NP_03_08_01_12,,Y15T49,PT,77.8
2019,_L_NP_03_08_01_12,NP1,Y15T49,PT,80.3
2019,_L_NP_03_08_01_12,NP2,Y15T49,PT,56.8
2019,_L_NP_03_08_01_12,NP3,Y15T49,PT,87.2
2019,_L_NP_03_08_01_12,NP4,Y15T49,PT,91.2
2019,_L_NP_03_08_01_12,NP5,Y15T49,PT,80.7
2019,_L_NP_03_08_01_12,NP6,Y15T49,PT,72.3
2019,_L_NP_03_08_01_12,NP7,Y15T49,PT,88.0
2019,_L_NP_03_08_01_13,,Y15T49,PT,5.4
2019,_L_NP_03_08_01_13,NP1,Y15T49,PT,3.9
2019,_L_NP_03_08_01_13,NP2,Y15T49,PT,5.3
2019,_L_NP_03_08_01_13,NP3,Y15T49,PT,15.6
2019,_L_NP_03_08_01_13,NP4,Y15T49,PT,3.7
2019,_L_NP_03_08_01_13,NP5,Y15T49,PT,1.4
2019,_L_NP_03_08_01_13,NP6,Y15T49,PT,0.9
2019,_L_NP_03_08_01_13,NP7,Y15T49,PT,0.0
2014,_L_NP_03_08_01_14,,,PT,50.1
2019,_L_NP_03_08_01_14,,,PT,82.0
