Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2000,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,74
2001,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,72
2002,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,72
2003,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,78
2004,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,80
2005,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,75
2006,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,89
2007,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,82
2008,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,82
2009,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,89
2010,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,82
2011,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,92
2012,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,90
2013,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,92
2014,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,92
2015,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,91
2016,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,87
2017,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,90
2018,SH_ACS_DTP3,,None,None,None,None,None,None,None,None,None,None,None,PT,91
2016,SH_ACS_MCV2,,None,None,None,None,None,None,None,None,None,None,None,PT,25
2017,SH_ACS_MCV2,,None,None,None,None,None,None,None,None,None,None,None,PT,59
2018,SH_ACS_MCV2,,None,None,None,None,None,None,None,None,None,None,None,PT,69
2015,SH_ACS_PCV3,,None,None,None,None,None,None,None,None,None,None,None,PT,5
2016,SH_ACS_PCV3,,None,None,None,None,None,None,None,None,None,None,None,PT,46
2017,SH_ACS_PCV3,,None,None,None,None,None,None,None,None,None,None,None,PT,80
2018,SH_ACS_PCV3,,None,None,None,None,None,None,None,None,None,None,None,PT,82
