Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_HLTHL,CON_USD,17.16501
2001,DC_TOF_HLTHL,CON_USD,39.7095
2002,DC_TOF_HLTHL,CON_USD,22.28263
2003,DC_TOF_HLTHL,CON_USD,20.93818
2004,DC_TOF_HLTHL,CON_USD,16.34356
2005,DC_TOF_HLTHL,CON_USD,20.66811
2006,DC_TOF_HLTHL,CON_USD,25.04582
2007,DC_TOF_HLTHL,CON_USD,40.26797
2008,DC_TOF_HLTHL,CON_USD,42.65092
2009,DC_TOF_HLTHL,CON_USD,38.51642
2010,DC_TOF_HLTHL,CON_USD,80.1602
2011,DC_TOF_HLTHL,CON_USD,57.64695
2012,DC_TOF_HLTHL,CON_USD,56.90202
2013,DC_TOF_HLTHL,CON_USD,79.24889
2014,DC_TOF_HLTHL,CON_USD,111.28459
2015,DC_TOF_HLTHL,CON_USD,103.98951
2016,DC_TOF_HLTHL,CON_USD,75.73755
2017,DC_TOF_HLTHL,CON_USD,63.83309
2018,DC_TOF_HLTHL,CON_USD,55.41997
2010,DC_TOF_HLTHNT,CON_USD,79.98029
2011,DC_TOF_HLTHNT,CON_USD,57.43507
2012,DC_TOF_HLTHNT,CON_USD,56.66883
2013,DC_TOF_HLTHNT,CON_USD,78.8784
2014,DC_TOF_HLTHNT,CON_USD,110.1108
2015,DC_TOF_HLTHNT,CON_USD,103.31307
2016,DC_TOF_HLTHNT,CON_USD,74.33377
2017,DC_TOF_HLTHNT,CON_USD,62.49575
2018,DC_TOF_HLTHNT,CON_USD,53.99728
