Year,Series,REF_AREA,COMPOSITE_BREAKDOWN,Units,Value
2010,SH_IHR_CAPS,524,IHR_01,PT,75
2011,SH_IHR_CAPS,524,IHR_01,PT,75
2012,SH_IHR_CAPS,524,IHR_01,PT,75
2013,SH_IHR_CAPS,524,IHR_01,PT,75
2014,SH_IHR_CAPS,524,IHR_01,PT,100
2015,SH_IHR_CAPS,524,IHR_01,PT,100
2016,SH_IHR_CAPS,524,IHR_01,PT,100
2017,SH_IHR_CAPS,524,IHR_01,PT,0
2010,SH_IHR_CAPS,524,IHR_02,PT,75
2011,SH_IHR_CAPS,524,IHR_02,PT,66
2012,SH_IHR_CAPS,524,IHR_02,PT,66
2013,SH_IHR_CAPS,524,IHR_02,PT,73
2014,SH_IHR_CAPS,524,IHR_02,PT,100
2015,SH_IHR_CAPS,524,IHR_02,PT,100
2016,SH_IHR_CAPS,524,IHR_02,PT,100
2017,SH_IHR_CAPS,524,IHR_02,PT,10
2010,SH_IHR_CAPS,524,IHR_03,PT,40
2011,SH_IHR_CAPS,524,IHR_03,PT,40
2012,SH_IHR_CAPS,524,IHR_03,PT,35
2013,SH_IHR_CAPS,524,IHR_03,PT,70
2014,SH_IHR_CAPS,524,IHR_03,PT,90
2015,SH_IHR_CAPS,524,IHR_03,PT,95
2016,SH_IHR_CAPS,524,IHR_03,PT,95
2017,SH_IHR_CAPS,524,IHR_03,PT,25
2010,SH_IHR_CAPS,524,IHR_04,PT,48
2011,SH_IHR_CAPS,524,IHR_04,PT,71
2012,SH_IHR_CAPS,524,IHR_04,PT,52
2013,SH_IHR_CAPS,524,IHR_04,PT,67
2014,SH_IHR_CAPS,524,IHR_04,PT,76
2015,SH_IHR_CAPS,524,IHR_04,PT,94
2016,SH_IHR_CAPS,524,IHR_04,PT,94
2017,SH_IHR_CAPS,524,IHR_04,PT,40
2010,SH_IHR_CAPS,524,IHR_05,PT,14
2011,SH_IHR_CAPS,524,IHR_05,PT,65
2012,SH_IHR_CAPS,524,IHR_05,PT,40
2013,SH_IHR_CAPS,524,IHR_05,PT,66
2014,SH_IHR_CAPS,524,IHR_05,PT,70
2015,SH_IHR_CAPS,524,IHR_05,PT,80
2016,SH_IHR_CAPS,524,IHR_05,PT,80
2017,SH_IHR_CAPS,524,IHR_05,PT,20
2010,SH_IHR_CAPS,524,IHR_06,PT,80
2011,SH_IHR_CAPS,524,IHR_06,PT,29
2012,SH_IHR_CAPS,524,IHR_06,PT,29
2013,SH_IHR_CAPS,524,IHR_06,PT,83
2014,SH_IHR_CAPS,524,IHR_06,PT,86
2015,SH_IHR_CAPS,524,IHR_06,PT,86
2016,SH_IHR_CAPS,524,IHR_06,PT,86
2017,SH_IHR_CAPS,524,IHR_06,PT,29
2010,SH_IHR_CAPS,524,IHR_07,PT,33
2011,SH_IHR_CAPS,524,IHR_07,PT,25
2012,SH_IHR_CAPS,524,IHR_07,PT,20
2013,SH_IHR_CAPS,524,IHR_07,PT,20
2014,SH_IHR_CAPS,524,IHR_07,PT,60
2015,SH_IHR_CAPS,524,IHR_07,PT,80
2016,SH_IHR_CAPS,524,IHR_07,PT,80
2017,SH_IHR_CAPS,524,IHR_07,PT,0
2010,SH_IHR_CAPS,524,IHR_08,PT,88
2011,SH_IHR_CAPS,524,IHR_08,PT,60
2012,SH_IHR_CAPS,524,IHR_08,PT,60
2013,SH_IHR_CAPS,524,IHR_08,PT,100
2014,SH_IHR_CAPS,524,IHR_08,PT,91
