Year,Series,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Units,Value
2001,SE_TOT_CPLR,,,,ISCED11_1,PT,52.28
2007,SE_TOT_CPLR,,,,ISCED11_1,PT,63.63037
2011,SE_TOT_CPLR,,,,ISCED11_1,PT,75.22154
2014,SE_TOT_CPLR,,,,ISCED11_1,PT,76.22546
2016,SE_TOT_CPLR,,,,ISCED11_1,PT,83.15811
2001,SE_TOT_CPLR,,,,ISCED11_2,PT,30.55
2007,SE_TOT_CPLR,,,,ISCED11_2,PT,42.3212
2011,SE_TOT_CPLR,,,,ISCED11_2,PT,59.57858
2014,SE_TOT_CPLR,,,,ISCED11_2,PT,65.57288
2016,SE_TOT_CPLR,,,,ISCED11_2,PT,69.67529
2001,SE_TOT_CPLR,,,,ISCED11_3,PT,5.37
2007,SE_TOT_CPLR,,,,ISCED11_3,PT,6.8714
2007,SE_TOT_CPLR,,,Q1,ISCED11_1,PT,46.44803
2011,SE_TOT_CPLR,,,Q1,ISCED11_1,PT,58.40978
2014,SE_TOT_CPLR,,,Q1,ISCED11_1,PT,73.74908
2016,SE_TOT_CPLR,,,Q1,ISCED11_1,PT,81.75453
2007,SE_TOT_CPLR,,,Q1,ISCED11_2,PT,23.51568
2011,SE_TOT_CPLR,,,Q1,ISCED11_2,PT,35.61232
2014,SE_TOT_CPLR,,,Q1,ISCED11_2,PT,52.71674
2016,SE_TOT_CPLR,,,Q1,ISCED11_2,PT,57.39732
2007,SE_TOT_CPLR,,,Q1,ISCED11_3,PT,0.65415
2007,SE_TOT_CPLR,,,Q2,ISCED11_1,PT,54.74792
2011,SE_TOT_CPLR,,,Q2,ISCED11_1,PT,66.78314
2014,SE_TOT_CPLR,,,Q2,ISCED11_1,PT,67.1669
2016,SE_TOT_CPLR,,,Q2,ISCED11_1,PT,80.91962
2007,SE_TOT_CPLR,,,Q2,ISCED11_2,PT,23.61334
2011,SE_TOT_CPLR,,,Q2,ISCED11_2,PT,48.81865
2014,SE_TOT_CPLR,,,Q2,ISCED11_2,PT,53.26983
2016,SE_TOT_CPLR,,,Q2,ISCED11_2,PT,61.89754
2007,SE_TOT_CPLR,,,Q2,ISCED11_3,PT,1.80124
2007,SE_TOT_CPLR,,,Q3,ISCED11_1,PT,61.38099
2011,SE_TOT_CPLR,,,Q3,ISCED11_1,PT,76.71439
2014,SE_TOT_CPLR,,,Q3,ISCED11_1,PT,73.6508
2016,SE_TOT_CPLR,,,Q3,ISCED11_1,PT,76.18215
2007,SE_TOT_CPLR,,,Q3,ISCED11_2,PT,29.67866
2011,SE_TOT_CPLR,,,Q3,ISCED11_2,PT,51.81602
2014,SE_TOT_CPLR,,,Q3,ISCED11_2,PT,62.26228
2016,SE_TOT_CPLR,,,Q3,ISCED11_2,PT,63.22414
2007,SE_TOT_CPLR,,,Q3,ISCED11_3,PT,1.71919
2007,SE_TOT_CPLR,,,Q4,ISCED11_1,PT,74.55323
2011,SE_TOT_CPLR,,,Q4,ISCED11_1,PT,83.3955
2014,SE_TOT_CPLR,,,Q4,ISCED11_1,PT,80.10947
2016,SE_TOT_CPLR,,,Q4,ISCED11_1,PT,83.95754
2007,SE_TOT_CPLR,,,Q4,ISCED11_2,PT,52.89787
2011,SE_TOT_CPLR,,,Q4,ISCED11_2,PT,70.96967
2014,SE_TOT_CPLR,,,Q4,ISCED11_2,PT,72.35493
2016,SE_TOT_CPLR,,,Q4,ISCED11_2,PT,72.18283
2007,SE_TOT_CPLR,,,Q4,ISCED11_3,PT,4.66766
2007,SE_TOT_CPLR,,,Q5,ISCED11_1,PT,83.46668
2011,SE_TOT_CPLR,,,Q5,ISCED11_1,PT,94.23521
2014,SE_TOT_CPLR,,,Q5,ISCED11_1,PT,91.15202
2016,SE_TOT_CPLR,,,Q5,ISCED11_1,PT,94.67683
2007,SE_TOT_CPLR,,,Q5,ISCED11_2,PT,73.96413
2011,SE_TOT_CPLR,,,Q5,ISCED11_2,PT,88.52224
2014,SE_TOT_CPLR,,,Q5,ISCED11_2,PT,88.4768
2016,SE_TOT_CPLR,,,Q5,ISCED11_2,PT,91.8877
2007,SE_TOT_CPLR,,,Q5,ISCED11_3,PT,19.77886
2001,SE_TOT_CPLR,,R,,ISCED11_1,PT,49.46
2007,SE_TOT_CPLR,,R,,ISCED11_1,PT,61.67941
2011,SE_TOT_CPLR,,R,,ISCED11_1,PT,73.6719
2014,SE_TOT_CPLR,,R,,ISCED11_1,PT,74.39197
2016,SE_TOT_CPLR,,R,,ISCED11_1,PT,77.56304
2001,SE_TOT_CPLR,,R,,ISCED11_2,PT,26.72
2007,SE_TOT_CPLR,,R,,ISCED11_2,PT,37.89636
2011,SE_TOT_CPLR,,R,,ISCED11_2,PT,56.52626
2014,SE_TOT_CPLR,,R,,ISCED11_2,PT,62.08112
