Year,Series,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Units,Value
2001,SE_AGP_CPRA,,,,,ISCED11_1,RO,0.73938
2007,SE_AGP_CPRA,,,,,ISCED11_1,RO,0.85299
2011,SE_AGP_CPRA,,,,,ISCED11_1,RO,0.90849
2014,SE_AGP_CPRA,,,,,ISCED11_1,RO,0.9834
2016,SE_AGP_CPRA,,,,,ISCED11_1,RO,0.98054
2001,SE_AGP_CPRA,,,,,ISCED11_2,RO,0.69894
2007,SE_AGP_CPRA,,,,,ISCED11_2,RO,0.75363
2011,SE_AGP_CPRA,,,,,ISCED11_2,RO,0.8297
2014,SE_AGP_CPRA,,,,,ISCED11_2,RO,0.91938
2016,SE_AGP_CPRA,,,,,ISCED11_2,RO,0.9471
2001,SE_AGP_CPRA,,,,,ISCED11_3,RO,0.41728
2007,SE_AGP_CPRA,,,,,ISCED11_3,RO,0.3832
2007,SE_AGP_CPRA,,,,Q1,ISCED11_1,RO,0.61054
2011,SE_AGP_CPRA,,,,Q1,ISCED11_1,RO,0.82463
2014,SE_AGP_CPRA,,,,Q1,ISCED11_1,RO,1.00181
2016,SE_AGP_CPRA,,,,Q1,ISCED11_1,RO,0.97744
2007,SE_AGP_CPRA,,,,Q1,ISCED11_2,RO,0.59044
2011,SE_AGP_CPRA,,,,Q1,ISCED11_2,RO,0.53963
2014,SE_AGP_CPRA,,,,Q1,ISCED11_2,RO,0.8766
2016,SE_AGP_CPRA,,,,Q1,ISCED11_2,RO,1.05051
2007,SE_AGP_CPRA,,,,Q1,ISCED11_3,RO,1.39243
2007,SE_AGP_CPRA,,,,Q2,ISCED11_1,RO,0.79546
2011,SE_AGP_CPRA,,,,Q2,ISCED11_1,RO,0.91487
2014,SE_AGP_CPRA,,,,Q2,ISCED11_1,RO,0.93039
2016,SE_AGP_CPRA,,,,Q2,ISCED11_1,RO,0.95523
2007,SE_AGP_CPRA,,,,Q2,ISCED11_2,RO,0.73949
2011,SE_AGP_CPRA,,,,Q2,ISCED11_2,RO,0.87413
2014,SE_AGP_CPRA,,,,Q2,ISCED11_2,RO,0.81589
2016,SE_AGP_CPRA,,,,Q2,ISCED11_2,RO,1.03334
2007,SE_AGP_CPRA,,,,Q2,ISCED11_3,RO,0.1558
2007,SE_AGP_CPRA,,,,Q3,ISCED11_1,RO,0.84667
2011,SE_AGP_CPRA,,,,Q3,ISCED11_1,RO,0.85836
2014,SE_AGP_CPRA,,,,Q3,ISCED11_1,RO,0.96306
2016,SE_AGP_CPRA,,,,Q3,ISCED11_1,RO,0.94442
2007,SE_AGP_CPRA,,,,Q3,ISCED11_2,RO,0.75478
2011,SE_AGP_CPRA,,,,Q3,ISCED11_2,RO,0.78975
2014,SE_AGP_CPRA,,,,Q3,ISCED11_2,RO,0.8772
2016,SE_AGP_CPRA,,,,Q3,ISCED11_2,RO,0.89249
2007,SE_AGP_CPRA,,,,Q3,ISCED11_3,RO,0.0161
2007,SE_AGP_CPRA,,,,Q4,ISCED11_1,RO,0.95811
2011,SE_AGP_CPRA,,,,Q4,ISCED11_1,RO,1.01025
2014,SE_AGP_CPRA,,,,Q4,ISCED11_1,RO,1.0056
2016,SE_AGP_CPRA,,,,Q4,ISCED11_1,RO,1.0028
2007,SE_AGP_CPRA,,,,Q4,ISCED11_2,RO,0.88735
2011,SE_AGP_CPRA,,,,Q4,ISCED11_2,RO,0.95308
2014,SE_AGP_CPRA,,,,Q4,ISCED11_2,RO,0.93338
