Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2008,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,58.20877
2010,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,65.07927
2011,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,69.13699
2013,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,79.76927
2014,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,80.19325
2015,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,81.87657
2016,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,90.47581
2017,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,88.70498
2019,SE_TRA_GRDL,,None,None,None,None,AGG_2_3,None,None,None,None,None,None,PT,83.25529
2010,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,81.54873
2011,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,83.69693
2012,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,84.65531
2013,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,86.70061
2014,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,86.8742
2015,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,87.51005
2016,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,88.44667
2017,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,88.67411
2019,SE_TRA_GRDL,,None,None,None,None,ISCED11_02,None,None,None,None,None,None,PT,83.38707
2001,SE_TRA_GRDL,,None,None,None,None,ISCED11_1,None,None,None,None,None,None,PT,15.37102
2002,SE_TRA_GRDL,,None,None,None,None,ISCED11_1,None,None,None,None,None,None,PT,14.68151
2003,SE_TRA_GRDL,,None,None,None,None,ISCED11_1,None,None,None,None,None,None,PT,16.22721
2004,SE_TRA_GRDL,,None,None,None,None,ISCED11_1,None,None,None,None,None,None,PT,17.38608
2005,SE_TRA_GRDL,,None,None,None,None,ISCED11_1,None,None,None,None,None,None,PT,30.51447
