Year,SERIES,SEX,UNIT_MEASURE,Value
2018,SG_GEN_LOCGELS,F,PT,40.96
2000,SG_GEN_PARL,F,PT,5.85
2001,SG_GEN_PARL,F,PT,5.85
2002,SG_GEN_PARL,F,PT,5.85
2007,SG_GEN_PARL,F,PT,17.33
2008,SG_GEN_PARL,F,PT,17.33
2009,SG_GEN_PARL,F,PT,33.17
2010,SG_GEN_PARL,F,PT,33.17
2011,SG_GEN_PARL,F,PT,33.17
2012,SG_GEN_PARL,F,PT,33.17
2013,SG_GEN_PARL,F,PT,33.17
2014,SG_GEN_PARL,F,PT,29.91
2015,SG_GEN_PARL,F,PT,29.48
2016,SG_GEN_PARL,F,PT,29.55
2017,SG_GEN_PARL,F,PT,29.58
2018,SG_GEN_PARL,F,PT,32.7
2019,SG_GEN_PARL,F,PT,32.73
2020,SG_GEN_PARL,F,PT,32.73
2000,SG_GEN_PARLN,F,NUMBER,12.0
2001,SG_GEN_PARLN,F,NUMBER,12.0
2002,SG_GEN_PARLN,F,NUMBER,12.0
2007,SG_GEN_PARLN,F,NUMBER,57.0
2008,SG_GEN_PARLN,F,NUMBER,57.0
2009,SG_GEN_PARLN,F,NUMBER,197.0
2010,SG_GEN_PARLN,F,NUMBER,197.0
2011,SG_GEN_PARLN,F,NUMBER,197.0
2012,SG_GEN_PARLN,F,NUMBER,197.0
2013,SG_GEN_PARLN,F,NUMBER,197.0
2014,SG_GEN_PARLN,F,NUMBER,172.0
2015,SG_GEN_PARLN,F,NUMBER,176.0
2016,SG_GEN_PARLN,F,NUMBER,177.0
2017,SG_GEN_PARLN,F,NUMBER,176.0
2018,SG_GEN_PARLN,F,NUMBER,90.0
2019,SG_GEN_PARLN,F,NUMBER,90.0
2020,SG_GEN_PARLN,F,NUMBER,90.0
2000,SG_GEN_PARLNT,,NUMBER,205.0
2001,SG_GEN_PARLNT,,NUMBER,205.0
2002,SG_GEN_PARLNT,,NUMBER,205.0
2007,SG_GEN_PARLNT,,NUMBER,329.0
2008,SG_GEN_PARLNT,,NUMBER,329.0
2009,SG_GEN_PARLNT,,NUMBER,594.0
2010,SG_GEN_PARLNT,,NUMBER,594.0
2011,SG_GEN_PARLNT,,NUMBER,594.0
2012,SG_GEN_PARLNT,,NUMBER,594.0
2013,SG_GEN_PARLNT,,NUMBER,594.0
2014,SG_GEN_PARLNT,,NUMBER,575.0
2015,SG_GEN_PARLNT,,NUMBER,597.0
2016,SG_GEN_PARLNT,,NUMBER,599.0
2017,SG_GEN_PARLNT,,NUMBER,595.0
2018,SG_GEN_PARLNT,,NUMBER,275.0
2019,SG_GEN_PARLNT,,NUMBER,275.0
2020,SG_GEN_PARLNT,,NUMBER,275.0
