Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_WASHL,CON_USD,61.62579
2001,DC_TOF_WASHL,CON_USD,303.42838
2002,DC_TOF_WASHL,CON_USD,45.91209
2003,DC_TOF_WASHL,CON_USD,89.1134
2004,DC_TOF_WASHL,CON_USD,50.17609
2005,DC_TOF_WASHL,CON_USD,52.19268
2006,DC_TOF_WASHL,CON_USD,50.08376
2007,DC_TOF_WASHL,CON_USD,27.17706
2008,DC_TOF_WASHL,CON_USD,47.61149
2009,DC_TOF_WASHL,CON_USD,59.26804
2010,DC_TOF_WASHL,CON_USD,76.87292
2011,DC_TOF_WASHL,CON_USD,83.85921
2012,DC_TOF_WASHL,CON_USD,109.82621
2013,DC_TOF_WASHL,CON_USD,83.28302
2014,DC_TOF_WASHL,CON_USD,88.52555
2015,DC_TOF_WASHL,CON_USD,109.14844
2016,DC_TOF_WASHL,CON_USD,129.53925
2017,DC_TOF_WASHL,CON_USD,175.06165
2018,DC_TOF_WASHL,CON_USD,136.16995
