Year,Series,REF_AREA,SEX,ACTIVITY,Units,Value
2008,SL_ISV_IFEM,524,,,PT,99.65251
2017,SL_ISV_IFEM,524,,,PT,80.81036
2008,SL_ISV_IFEM,524,,ISIC4_A,PT,99.96175
2017,SL_ISV_IFEM,524,,ISIC4_A,PT,92.45345
2008,SL_ISV_IFEM,524,,ISIC4_BTU,PT,98.88971
2017,SL_ISV_IFEM,524,,ISIC4_BTU,PT,77.622
2008,SL_ISV_IFEM,524,F,,PT,99.87675
2017,SL_ISV_IFEM,524,F,,PT,86.46877
2008,SL_ISV_IFEM,524,F,ISIC4_A,PT,99.96736
2017,SL_ISV_IFEM,524,F,ISIC4_A,PT,94.68054
2008,SL_ISV_IFEM,524,F,ISIC4_BTU,PT,99.42901
2017,SL_ISV_IFEM,524,F,ISIC4_BTU,PT,82.42536
2008,SL_ISV_IFEM,524,M,,PT,99.41107
2017,SL_ISV_IFEM,524,M,,PT,77.45089
2008,SL_ISV_IFEM,524,M,ISIC4_A,PT,99.95311
2017,SL_ISV_IFEM,524,M,ISIC4_A,PT,89.48003
2008,SL_ISV_IFEM,524,M,ISIC4_BTU,PT,98.65579
2017,SL_ISV_IFEM,524,M,ISIC4_BTU,PT,75.38253
