Year,Series,PRODUCT,Units,Value
2000,EN_MAT_DOMCMPC,,T,2.59902
2001,EN_MAT_DOMCMPC,,T,2.81879
2002,EN_MAT_DOMCMPC,,T,3.04334
2003,EN_MAT_DOMCMPC,,T,3.40207
2004,EN_MAT_DOMCMPC,,T,3.27398
2005,EN_MAT_DOMCMPC,,T,3.29353
2006,EN_MAT_DOMCMPC,,T,3.26253
2007,EN_MAT_DOMCMPC,,T,3.21553
2008,EN_MAT_DOMCMPC,,T,3.28745
2009,EN_MAT_DOMCMPC,,T,3.35746
2010,EN_MAT_DOMCMPC,,T,3.43356
2011,EN_MAT_DOMCMPC,,T,3.46799
2012,EN_MAT_DOMCMPC,,T,3.63113
2013,EN_MAT_DOMCMPC,,T,3.59206
2014,EN_MAT_DOMCMPC,,T,3.72122
2015,EN_MAT_DOMCMPC,,T,3.77572
2016,EN_MAT_DOMCMPC,,T,3.8397
2017,EN_MAT_DOMCMPC,,T,3.90282
2000,EN_MAT_DOMCMPC,MF_AGG3A,T,0.11115
2001,EN_MAT_DOMCMPC,MF_AGG3A,T,0.33372
2002,EN_MAT_DOMCMPC,MF_AGG3A,T,0.55969
2003,EN_MAT_DOMCMPC,MF_AGG3A,T,0.86773
2004,EN_MAT_DOMCMPC,MF_AGG3A,T,0.74922
2005,EN_MAT_DOMCMPC,MF_AGG3A,T,0.74007
2006,EN_MAT_DOMCMPC,MF_AGG3A,T,0.73264
2007,EN_MAT_DOMCMPC,MF_AGG3A,T,0.68619
2008,EN_MAT_DOMCMPC,MF_AGG3A,T,0.68852
2009,EN_MAT_DOMCMPC,MF_AGG3A,T,0.69788
2010,EN_MAT_DOMCMPC,MF_AGG3A,T,0.73612
2011,EN_MAT_DOMCMPC,MF_AGG3A,T,0.66374
2012,EN_MAT_DOMCMPC,MF_AGG3A,T,0.68667
2013,EN_MAT_DOMCMPC,MF_AGG3A,T,0.73171
2014,EN_MAT_DOMCMPC,MF_AGG3A,T,0.765
2015,EN_MAT_DOMCMPC,MF_AGG3A,T,0.80433
2016,EN_MAT_DOMCMPC,MF_AGG3A,T,0.84296
2017,EN_MAT_DOMCMPC,MF_AGG3A,T,0.88085
2000,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00034
2001,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00027
2002,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00021
2003,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00425
2004,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00129
2005,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00161
2006,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00157
2007,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00168
2008,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00095
2009,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00087
2010,EN_MAT_DOMCMPC,MF_AGG3B,T,0.00746
2011,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01198
2012,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01148
2013,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01173
2014,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01213
2015,EN_MAT_DOMCMPC,MF_AGG3B,T,0.0122
2016,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01226
2017,EN_MAT_DOMCMPC,MF_AGG3B,T,0.01233
2000,EN_MAT_DOMCMPC,MF1,T,2.44015
2001,EN_MAT_DOMCMPC,MF1,T,2.4353
2002,EN_MAT_DOMCMPC,MF1,T,2.4459
2003,EN_MAT_DOMCMPC,MF1,T,2.46978
2004,EN_MAT_DOMCMPC,MF1,T,2.48626
2005,EN_MAT_DOMCMPC,MF1,T,2.50805
2006,EN_MAT_DOMCMPC,MF1,T,2.49375
2007,EN_MAT_DOMCMPC,MF1,T,2.49237
2008,EN_MAT_DOMCMPC,MF1,T,2.5582
2009,EN_MAT_DOMCMPC,MF1,T,2.60524
2010,EN_MAT_DOMCMPC,MF1,T,2.60629
2011,EN_MAT_DOMCMPC,MF1,T,2.7083
2012,EN_MAT_DOMCMPC,MF1,T,2.83933
2013,EN_MAT_DOMCMPC,MF1,T,2.73814
2014,EN_MAT_DOMCMPC,MF1,T,2.82771
2015,EN_MAT_DOMCMPC,MF1,T,2.84926
2016,EN_MAT_DOMCMPC,MF1,T,2.87077
2017,EN_MAT_DOMCMPC,MF1,T,2.89221
2000,EN_MAT_DOMCMPC,MF11,T,0.58381
2001,EN_MAT_DOMCMPC,MF11,T,0.58765
2002,EN_MAT_DOMCMPC,MF11,T,0.59957
2003,EN_MAT_DOMCMPC,MF11,T,0.62238
2004,EN_MAT_DOMCMPC,MF11,T,0.63436
2005,EN_MAT_DOMCMPC,MF11,T,0.6464
2006,EN_MAT_DOMCMPC,MF11,T,0.65064
2007,EN_MAT_DOMCMPC,MF11,T,0.64848
2008,EN_MAT_DOMCMPC,MF11,T,0.67683
2009,EN_MAT_DOMCMPC,MF11,T,0.69135
2010,EN_MAT_DOMCMPC,MF11,T,0.71013
2011,EN_MAT_DOMCMPC,MF11,T,0.76253
2012,EN_MAT_DOMCMPC,MF11,T,0.82522
2013,EN_MAT_DOMCMPC,MF11,T,0.78398
2014,EN_MAT_DOMCMPC,MF11,T,0.82205
2015,EN_MAT_DOMCMPC,MF11,T,0.83535
2016,EN_MAT_DOMCMPC,MF11,T,0.84853
2017,EN_MAT_DOMCMPC,MF11,T,0.86155
2000,EN_MAT_DOMCMPC,MF121,T,0.66483
2001,EN_MAT_DOMCMPC,MF121,T,0.66783
2002,EN_MAT_DOMCMPC,MF121,T,0.67173
2003,EN_MAT_DOMCMPC,MF121,T,0.677
2004,EN_MAT_DOMCMPC,MF121,T,0.69329
2005,EN_MAT_DOMCMPC,MF121,T,0.7013
2006,EN_MAT_DOMCMPC,MF121,T,0.69697
2007,EN_MAT_DOMCMPC,MF121,T,0.68116
2008,EN_MAT_DOMCMPC,MF121,T,0.71719
2009,EN_MAT_DOMCMPC,MF121,T,0.72226
2010,EN_MAT_DOMCMPC,MF121,T,0.7051
2011,EN_MAT_DOMCMPC,MF121,T,0.76161
2012,EN_MAT_DOMCMPC,MF121,T,0.80744
