Year,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,Value
2018,SL_TLF_NEET,,,,PT,35.3
2018,SL_TLF_NEET,NP1,,,PT,37.3
2018,SL_TLF_NEET,NP2,,,PT,48.3
2018,SL_TLF_NEET,NP3,,,PT,20.9
2018,SL_TLF_NEET,NP4,,,PT,33.0
2018,SL_TLF_NEET,NP5,,,PT,36.9
2018,SL_TLF_NEET,NP6,,,PT,40.9
2018,SL_TLF_NEET,NP7,,,PT,37.0
2017,SL_TLF_NEET,,Y15T24,,PT,35.3
2017,SL_TLF_NEET,,Y15T24,U,PT,31.2
2017,SL_TLF_NEET,,Y15T24,R,PT,43.3
2017,SL_TLF_NEET,NP1,Y15T24,,PT,37.3
2017,SL_TLF_NEET,NP2,Y15T24,,PT,48.3
2017,SL_TLF_NEET,NP3,Y15T24,,PT,20.9
2017,SL_TLF_NEET,NP4,Y15T24,,PT,33.0
2017,SL_TLF_NEET,NP5,Y15T24,,PT,36.9
2017,SL_TLF_NEET,NP6,Y15T24,,PT,40.9
2017,SL_TLF_NEET,NP7,Y15T24,,PT,37.0
2017,SL_TLF_NEET,,Y15T24,,PT,35.3
2017,SL_TLF_NEET,,Y15T24,U,PT,31.2
2017,SL_TLF_NEET,,Y15T24,R,PT,43.3
2017,SL_TLF_NEET,NP1,Y15T24,,PT,37.3
2017,SL_TLF_NEET,NP2,Y15T24,,PT,48.3
2017,SL_TLF_NEET,NP3,Y15T24,,PT,20.9
2017,SL_TLF_NEET,NP4,Y15T24,,PT,33.0
2017,SL_TLF_NEET,NP5,Y15T24,,PT,36.9
2017,SL_TLF_NEET,NP6,Y15T24,,PT,40.9
2017,SL_TLF_NEET,NP7,Y15T24,,PT,37.0
