Year,Series,REF_AREA,ACTIVITY,Units,Value
2000,EN_ATM_CO2,,,T,3.1
2001,EN_ATM_CO2,,,T,3.35
2002,EN_ATM_CO2,,,T,2.671
2003,EN_ATM_CO2,,,T,2.905
2004,EN_ATM_CO2,,,T,2.697
2005,EN_ATM_CO2,,,T,3.074
2006,EN_ATM_CO2,,,T,2.501
2007,EN_ATM_CO2,,,T,2.578
2008,EN_ATM_CO2,,,T,2.882
2009,EN_ATM_CO2,,,T,3.425
2010,EN_ATM_CO2,,,T,4.122
2011,EN_ATM_CO2,,,T,4.405
2012,EN_ATM_CO2,,,T,4.972
2013,EN_ATM_CO2,,,T,4.945
2014,EN_ATM_CO2,,,T,5.949
2015,EN_ATM_CO2,,,T,5.694
2016,EN_ATM_CO2,,,T,8.504
2017,EN_ATM_CO2,,,T,10.193
2018,EN_ATM_CO2,,,T,11.187
2000,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.116
2001,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.27
2002,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.638
2003,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.774
2004,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.662
2005,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.024
2006,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.62
2007,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.811
2008,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.753
2009,EN_ATM_CO2,,ISIC4_C10T32X19,T,0.758
2010,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.226
2011,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.446
2012,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.732
2013,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.346
2014,EN_ATM_CO2,,ISIC4_C10T32X19,T,1.943
2015,EN_ATM_CO2,,ISIC4_C10T32X19,T,2.232
2016,EN_ATM_CO2,,ISIC4_C10T32X19,T,2.779
2017,EN_ATM_CO2,,ISIC4_C10T32X19,T,3.192
2018,EN_ATM_CO2,,ISIC4_C10T32X19,T,3.406
2000,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.07151
2001,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.07373
2002,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.05871
2003,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.06143
2004,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.05448
2005,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.06002
2006,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.04724
2007,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.04709
2008,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.04961
2009,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.0564
2010,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.06476
2011,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.06691
2012,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.07208
2013,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.06885
2014,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.07815
2015,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.07239
2016,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.10748
2017,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.11905
2018,EN_ATM_CO2GDP,,,KG_PER_CON_USD,0.12244
2000,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.247
2001,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.368
2002,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.726
2003,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.88
2004,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.737
2005,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.111
2006,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.659
2007,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.841
2008,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.788
2009,EN_ATM_CO2MVA,,,KG_PER_CON_USD,0.801
2010,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.259
2011,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.427
2012,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.649
2013,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.236
2014,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.679
2015,EN_ATM_CO2MVA,,,KG_PER_CON_USD,1.921
2016,EN_ATM_CO2MVA,,,KG_PER_CON_USD,2.6
2017,EN_ATM_CO2MVA,,,KG_PER_CON_USD,2.722
2018,EN_ATM_CO2MVA,,,KG_PER_CON_USD,2.661
