Year,Series,REF_AREA,Units,Value
2006,IT_MOB_2GNTWK,524,PT,10.0
2010,IT_MOB_2GNTWK,524,PT,35.13
2013,IT_MOB_2GNTWK,524,PT,80.62
2014,IT_MOB_2GNTWK,524,PT,80.0
2015,IT_MOB_2GNTWK,524,PT,82.0
2016,IT_MOB_2GNTWK,524,PT,91.97
2017,IT_MOB_2GNTWK,524,PT,92.47
2009,IT_MOB_3GNTWK,524,PT,20.35
2014,IT_MOB_3GNTWK,524,PT,30.0
2015,IT_MOB_3GNTWK,524,PT,50.0
2016,IT_MOB_3GNTWK,524,PT,54.1
2017,IT_MOB_3GNTWK,524,PT,54.1
2014,IT_MOB_4GNTWK,524,PT,0.0
2015,IT_MOB_4GNTWK,524,PT,0.0
2016,IT_MOB_4GNTWK,524,PT,15.47
2017,IT_MOB_4GNTWK,524,PT,15.47
