Year,Value,SERIES,UNIT_MEASURE
2002,26.83378,DC_ODA_BDVL,CON_USD
2003,13.68649,DC_ODA_BDVL,CON_USD
2004,9.47747,DC_ODA_BDVL,CON_USD
2005,2.00487,DC_ODA_BDVL,CON_USD
2006,3.45734,DC_ODA_BDVL,CON_USD
2007,7.49093,DC_ODA_BDVL,CON_USD
2008,18.64721,DC_ODA_BDVL,CON_USD
2009,6.9075,DC_ODA_BDVL,CON_USD
2010,30.2173,DC_ODA_BDVL,CON_USD
2011,50.48495,DC_ODA_BDVL,CON_USD
2012,10.95123,DC_ODA_BDVL,CON_USD
2013,37.38919,DC_ODA_BDVL,CON_USD
2014,26.16435,DC_ODA_BDVL,CON_USD
2015,18.30768,DC_ODA_BDVL,CON_USD
2016,33.25301,DC_ODA_BDVL,CON_USD
2017,19.24385,DC_ODA_BDVL,CON_USD
2018,23.63437,DC_ODA_BDVL,CON_USD
