Year,Value,SERIES,UNIT_MEASURE
2000,54.5317,GC_GOB_TAXD,PT
2001,52.58778,GC_GOB_TAXD,PT
2002,53.58885,GC_GOB_TAXD,PT
2003,57.37541,GC_GOB_TAXD,PT
2004,61.48774,GC_GOB_TAXD,PT
2005,60.94152,GC_GOB_TAXD,PT
2006,60.52527,GC_GOB_TAXD,PT
2007,60.99772,GC_GOB_TAXD,PT
2008,61.76374,GC_GOB_TAXD,PT
2009,58.6126,GC_GOB_TAXD,PT
2010,68.68619,GC_GOB_TAXD,PT
2011,67.99083,GC_GOB_TAXD,PT
2012,71.86313,GC_GOB_TAXD,PT
2013,85.93593,GC_GOB_TAXD,PT
2014,84.50524,GC_GOB_TAXD,PT
2015,83.26422,GC_GOB_TAXD,PT
2016,85.34704,GC_GOB_TAXD,PT
2017,76.25712,GC_GOB_TAXD,PT
