Year,Value,Units,Series
2002,36.1503,PT,AG_PRD_AGVAS
2003,35.10608,PT,AG_PRD_AGVAS
2004,34.67636,PT,AG_PRD_AGVAS
2005,33.8249,PT,AG_PRD_AGVAS
2006,32.36654,PT,AG_PRD_AGVAS
2007,31.16441,PT,AG_PRD_AGVAS
2008,30.30572,PT,AG_PRD_AGVAS
2009,31.32265,PT,AG_PRD_AGVAS
2010,33.17949,PT,AG_PRD_AGVAS
2011,34.97926,PT,AG_PRD_AGVAS
2012,33.14809,PT,AG_PRD_AGVAS
2013,31.53462,PT,AG_PRD_AGVAS
2014,30.26714,PT,AG_PRD_AGVAS
2015,29.38292,PT,AG_PRD_AGVAS
2016,29.1492,PT,AG_PRD_AGVAS
2017,27.08417,PT,AG_PRD_AGVAS
2018,25.29236,PT,AG_PRD_AGVAS
2002,0.16339,IX,AG_PRD_ORTIND
2003,0.13877,IX,AG_PRD_ORTIND
2004,0.13986,IX,AG_PRD_ORTIND
2005,0.24323,IX,AG_PRD_ORTIND
2006,0.14738,IX,AG_PRD_ORTIND
2007,0.1374,IX,AG_PRD_ORTIND
2008,0.13563,IX,AG_PRD_ORTIND
2009,0.21903,IX,AG_PRD_ORTIND
2010,0.26008,IX,AG_PRD_ORTIND
2011,0.31883,IX,AG_PRD_ORTIND
2012,0.23666,IX,AG_PRD_ORTIND
2013,0.25513,IX,AG_PRD_ORTIND
2014,0.30729,IX,AG_PRD_ORTIND
2015,0.30193,IX,AG_PRD_ORTIND
2016,0.32679,IX,AG_PRD_ORTIND
2017,0.3901,IX,AG_PRD_ORTIND
2018,0.26252,IX,AG_PRD_ORTIND
2002,5.90648,PT,AG_XPD_AGSGB
2003,4.87181,PT,AG_XPD_AGSGB
2004,4.84992,PT,AG_XPD_AGSGB
2005,8.22728,PT,AG_XPD_AGSGB
2006,4.77029,PT,AG_XPD_AGSGB
2007,4.28196,PT,AG_XPD_AGSGB
2008,4.11038,PT,AG_XPD_AGSGB
2009,6.86073,PT,AG_XPD_AGSGB
2010,8.62925,PT,AG_XPD_AGSGB
2011,11.1525,PT,AG_XPD_AGSGB
2012,7.84481,PT,AG_XPD_AGSGB
2013,8.04544,PT,AG_XPD_AGSGB
2014,9.30073,PT,AG_XPD_AGSGB
2015,8.87166,PT,AG_XPD_AGSGB
2016,9.52572,PT,AG_XPD_AGSGB
2017,10.56541,PT,AG_XPD_AGSGB
2018,6.63971,PT,AG_XPD_AGSGB
