Year,Value,Units,Series
2000,74,PT,SH_ACS_DTP3
2001,72,PT,SH_ACS_DTP3
2002,72,PT,SH_ACS_DTP3
2003,78,PT,SH_ACS_DTP3
2004,80,PT,SH_ACS_DTP3
2005,75,PT,SH_ACS_DTP3
2006,89,PT,SH_ACS_DTP3
2007,82,PT,SH_ACS_DTP3
2008,82,PT,SH_ACS_DTP3
2009,89,PT,SH_ACS_DTP3
2010,82,PT,SH_ACS_DTP3
2011,92,PT,SH_ACS_DTP3
2012,90,PT,SH_ACS_DTP3
2013,92,PT,SH_ACS_DTP3
2014,92,PT,SH_ACS_DTP3
2015,91,PT,SH_ACS_DTP3
2016,87,PT,SH_ACS_DTP3
2017,90,PT,SH_ACS_DTP3
2018,91,PT,SH_ACS_DTP3
2016,25,PT,SH_ACS_MCV2
2017,59,PT,SH_ACS_MCV2
2018,69,PT,SH_ACS_MCV2
2015,5,PT,SH_ACS_PCV3
2016,46,PT,SH_ACS_PCV3
2017,80,PT,SH_ACS_PCV3
2018,82,PT,SH_ACS_PCV3
