Year,Value,SERIES,UNIT_MEASURE
2000,61.62579,DC_TOF_WASHL,CON_USD
2001,303.42838,DC_TOF_WASHL,CON_USD
2002,45.91209,DC_TOF_WASHL,CON_USD
2003,89.1134,DC_TOF_WASHL,CON_USD
2004,50.17609,DC_TOF_WASHL,CON_USD
2005,52.19268,DC_TOF_WASHL,CON_USD
2006,50.08376,DC_TOF_WASHL,CON_USD
2007,27.17706,DC_TOF_WASHL,CON_USD
2008,47.61149,DC_TOF_WASHL,CON_USD
2009,59.26804,DC_TOF_WASHL,CON_USD
2010,76.87292,DC_TOF_WASHL,CON_USD
2011,83.85921,DC_TOF_WASHL,CON_USD
2012,109.82621,DC_TOF_WASHL,CON_USD
2013,83.28302,DC_TOF_WASHL,CON_USD
2014,88.52555,DC_TOF_WASHL,CON_USD
2015,109.14844,DC_TOF_WASHL,CON_USD
2016,129.53925,DC_TOF_WASHL,CON_USD
2017,175.06165,DC_TOF_WASHL,CON_USD
2018,136.16995,DC_TOF_WASHL,CON_USD
