Year,Value,Units,Series
2000,9.29,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2001,9.15,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2002,9.24,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2003,9.15,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2004,8.86,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2005,8.85,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2006,8.57,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2007,8.44,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2008,8.24,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2009,8.11,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2010,7.97,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2011,7.97,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2012,7.27,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2013,7.79,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2014,7.65,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2015,7.4,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2016,8.02,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
2017,7.84,MJ_PER_GDP_CON_PPP_USD,EG_EGY_PRIM
