Value,Disaggregation combinations using this value,Number of indicators
4 Years average 2015-2018,1,1
Administrative data based on most recent election results (2017).,1,1
Budgetary Central Government,2,1
"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",1,1
Country data submitted to FAO,2,1
Cumulative value.,1,1
Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,3,1
Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,3,3
Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).,17,5
Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”,16,4
Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).,11,5
Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”,3,3
Estimated from unit-record consumption data.,1,1
FAO estimate.,7,1
From NTA,1,1
"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",2,2
"Living Standards Survey 2010-2011, Third Round",4,1
NA = A figure was not provided.,1,1
Name of National Human Rights Institution: National Human Rights Commission of Nepal .,1,1
Name of National Human Rights Institution: Zambian Human Rights Commission .,1,1
"Net Disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",1,1
"NTA MIS January report.DSL, fibre and cable modem.",1,1
"Obs_Value = 0;  ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
Obs_Value = 0;  Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”,1,1
Obs_Value = 0;  Observation value represents the number of countries with national statistical plans that are fully funded,1,1
Obs_Value = 0;  Official country data submitted to FAO,1,1
"Obs_Value = 0;  SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.",4,1
"Obs_Value = 0;  Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",1,1
"Obs_Value = 0;  Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",1,1
Obs_Value = 0;,8,5
Obs_Value = 0.00;,2,2
Observation value: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Observation value represents the number of countries with national statistical plans that are under implementation,1,1
Observation value represents the number of countries with national statistical plans with funding from donors,2,1
Observation values: 10 = Clearly defined procedures; 5 = Not clearly defined  procedures; 0 = Not applicable.,2,1
Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.,1,1
Official country data submitted to FAO,3,2
"Parties  refers to Parties to the Convention on Biological Diversity that have ratified, accepted, approved or acceded the Nagoya Protocol, including those for which the Protocol has not yet entered into force following the 90 days period set out in Article 33.2 of the Protocol. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
Reference year represents the year of the census conducted.,1,1
Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,1,1
Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,8,1
"SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed.",22,1
