Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRST,1,1
AG_LND_FRSTBIOPHA,1,1
AG_LND_FRSTCERT,1,1
AG_LND_FRSTCHG,1,1
AG_LND_FRSTMGT,1,1
AG_LND_FRSTN,1,1
AG_LND_FRSTPRCT,1,1
AG_LND_TOTL,1,1
AG_PRD_AGVAS,1,1
AG_PRD_FIESMS,3,1
AG_PRD_FIESMSN,3,1
AG_PRD_FIESS,3,1
AG_PRD_FIESSN,3,1
AG_PRD_ORTIND,1,1
AG_XPD_AGSGB,1,1
DC_TOF_HLTHL,1,1
DC_TOF_HLTHNT,1,1
DC_TOF_TRDCML,1,1
DC_TOF_TRDDBML,1,1
EN_ATM_CO2,1,1
EN_ATM_CO2GDP,1,1
EN_ATM_CO2MVA,1,1
EN_MAT_DOMCMPC,16,1
EN_MAT_DOMCMPG,16,1
EN_MAT_DOMCMPT,16,1
EN_WBE_PMNR,1,1
EN_WBE_PMPN,1,1
EN_WBE_PMPP,1,1
EN_WBE_PMPR,1,1
ER_CBD_ABSCLRHS,1,1
ER_CBD_NAGOYA,1,1
ER_CBD_ORSPGRFA,1,1
ER_CBD_PTYPGRFA,1,1
ER_CBD_SMTA,1,1
ER_H2O_PRDU,1,1
ER_H2O_RURP,1,1
ER_MTN_GRNCOV,1,1
ER_MTN_GRNCVI,7,1
ER_MTN_TOTL,1,1
ER_PTD_FRHWTR,1,1
ER_PTD_TERR,1,1
ER_WAT_PART,1,1
ER_WAT_PRDU,1,1
FB_ATM_TOTL,1,1
FB_CBK_BRCH,1,1
FI_FSI_FSANL,1,1
FI_FSI_FSERA,1,1
FI_FSI_FSKA,1,1
FI_FSI_FSKNL,1,1
FI_FSI_FSKRTC,1,1
FI_FSI_FSLS,1,1
FI_FSI_FSSNO,1,1
GR_G14_GDP,1,1
GR_G14_XDC,1,1
IC_GEN_MGTL,1,1
IC_GEN_MGTN,1,1
IS_RDP_FRGVOL,4,1
IS_RDP_PFVOL,3,1
IT_MOB_2GNTWK,1,1
IT_MOB_3GNTWK,1,1
IT_MOB_4GNTWK,1,1
IT_NET_BBND,2,1
IT_NET_BBNDN,2,1
NV_IND_MANF,1,1
NV_IND_MANFPC,1,1
SE_ACS_CMPTR,3,1
SE_ACS_ELECT,3,1
SE_ACS_H2O,1,1
SE_GPI_PART,1,1
SE_GPI_PTNPRE,1,1
SE_GPI_TCAQ,5,1
SG_DSR_SILN,3,3
SG_DSR_SILS,3,3
SG_GEN_LOCGELS,1,1
SG_GEN_PARL,1,1
SG_GEN_PARLN,1,1
SG_GEN_PARLNT,1,1
SG_GOV_LOGV,3,3
SG_HAZ_CMRBASEL,1,1
SG_HAZ_CMRMNTRL,1,1
SG_HAZ_CMRROTDAM,1,1
SG_HAZ_CMRSTHOLM,1,1
SG_INT_MBRDEV,14,2
SG_INT_VRTDEV,14,2
SG_NHR_IMPLN,1,1
SG_NHR_NOAPPLN,1,1
SG_PLN_RECNDI,1,1
SG_PLN_RECRICTRY,1,1
SG_PLN_RECRIMON,1,1
SG_PLN_REPOLRES,1,1
SG_REG_BRTH90N,1,1
SG_REG_CENSUSN,1,1
SG_REG_DETH75N,1,1
SG_STT_NSDSFDDNR,1,1
SG_STT_NSDSFDGVT,1,1
SG_STT_NSDSFND,1,1
SG_STT_NSDSIMPL,1,1
SH_AAP_ASMORT,1,1
SH_AAP_MORT,1,1
SH_ACS_DTP3,1,1
SH_ACS_MCV2,1,1
SH_ACS_PCV3,1,1
SH_DTH_NCD,12,1
SH_DTH_NCOM,3,1
SH_DYN_IMRT,3,1
SH_DYN_IMRTN,3,1
SH_DYN_MORT,3,1
SH_DYN_MORTN,3,1
SH_DYN_NMRT,1,1
SH_DYN_NMRTN,1,1
SH_FPL_INFM,1,1
SH_FPL_INFMCU,1,1
SH_FPL_INFMRH,1,1
SH_FPL_INFMSR,1,1
SH_HAP_ASMORT,1,1
SH_HAP_MORT,1,1
SH_SAN_DEFECT,3,1
SH_SAN_HNDWSH,3,1
SH_STA_AIRP,1,1
SH_STA_ASAIRP,1,1
SH_STA_SCIDE,3,1
SH_STA_SCIDEN,3,1
SH_STA_STNT,1,1
SH_STA_STNTN,1,1
SH_STA_WAST,1,1
SH_STA_WASTN,1,1
SH_XPD_EARN10,1,1
SH_XPD_EARN25,1,1
SI_COV_BENFTS,1,1
SI_COV_CHLD,1,1
SI_COV_DISAB,1,1
SI_COV_PENSN,1,1
SI_COV_POOR,1,1
SI_COV_SOCAST,2,1
SI_COV_SOCINS,2,1
SI_COV_VULN,1,1
SI_COV_WKINJRY,1,1
SI_POV_DAY1,1,1
SI_POV_EMP1,9,1
SL_TLF_CHLDEA,3,1
SL_TLF_CHLDEC,3,1
SN_ITK_DEFC,1,1
SN_ITK_DEFCN,1,1
SN_STA_OVWGT,1,1
SN_STA_OVWGTN,1,1
SP_DYN_MRBF15,1,1
SP_DYN_MRBF18,1,1
TM_TAX_WMFN,7,1
TM_TAX_WMPS,7,1
VC_DSR_AFFCT,3,3
VC_DSR_AGLH,2,2
VC_DSR_BSDN,1,1
VC_DSR_CDAN,1,1
VC_DSR_CDYN,1,1
VC_DSR_CHLN,2,2
VC_DSR_CILN,2,2
VC_DSR_DAFF,3,3
VC_DSR_DDPA,2,2
VC_DSR_EFDN,1,1
VC_DSR_ESDN,1,1
VC_DSR_GDPLS,1,1
VC_DSR_HFDN,1,1
VC_DSR_HOLH,2,2
VC_DSR_HSDN,1,1
VC_DSR_IJILN,3,3
VC_DSR_LSGP,2,2
VC_DSR_MISS,3,3
VC_DSR_MMHN,3,3
VC_DSR_MORT,3,3
VC_DSR_MTMP,3,3
VC_DSR_OBDN,1,1
VC_DSR_PDAN,3,3
VC_DSR_PDLN,3,3
VC_DSR_PDYN,3,3
VC_HTF_DETV,1,1
VC_HTF_DETVFL,6,1
