Value,Disaggregation combinations using this value,Number of indicators
ADB Financial Report 2056,4,2
"Central Bureau of Statistics - National Planning Commission Secretariat, Government of Nepal",4,1
Compiled by UN Women in collaboration with ESCAP Statistics Division,1,1
"Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)",2,1
"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations.",1,1
"Demographic and Social Statistics Branch, United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",2,1
"DHS 2016. UNFPA Global Database, 2019.",3,1
"DHS 2016. UNFPA Global Database, 2020.",1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO Questionnaire. UNSD national account estimates.,2,1
FAOSTAT,1,1
Food and Agriculture Organisation of United Nations ( FAO),2,1
Food and Agriculture Organisation of United Nations (FAO),7,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International Treaty on PGRFA http://faoitpgrfa.ort-production.linode.unep-wcmc.org and  Easy-SMTA https://mls.planttreaty.org ,",1,1
IBRD Financial Statements June 2134,4,2
ICAO,2,1
"IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",1,1
IEA CO2 Emissions from Fuel Combustion Statistics 2019.,1,1
IFC Annual Report  Financial Statements,4,2
ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),7,1
"ILO modelled estimates, November 2019, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",9,1
IMF Annual Report 2019,4,2
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",1,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",2,1
ITPGRFA Secretariat,2,1
"Nepal Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview.",1,1
Nepal Telecommunications Authority,2,1
Report of the Economic and Social Council for 2015 (A/70/3),4,2
Secretariat of the Convention on Biological Diversity (CBD),1,1
the International Transport Forum at the OECD (ITF-OECD),5,1
UIS,6,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
"UNIDO MVA 2020 Database. Available at https://stat.unido.org. IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",1,1
UNISDR (2019). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction,2,2
United Nations Office for Disaster Risk Reduction (2020),19,2
UNSD national account estimates.,1,1
"World Development Indicators database, World Bank",1,1
WTO Annual Report 2019,4,2
