Value,Disaggregation combinations using this value,Number of indicators
BOOL,3,2
CON_USD,15,13
CUR_LCU,1,1
GPERM3,2,1
HA,3,2
IX,8,7
KG,1,1
KG_PER_CON_USD,18,2
KM2,4,2
LITRES_PURE_ALCOHOL,3,1
MJ_PER_GDP_CON_PPP_USD,1,1
NUMBER,132,35
P_KM,3,1
PER_1000000_POP,1,1
PER_100000_LIVE_BIRTHS,1,1
PER_100000_POP,21,9
PER_10000_POP,4,1
PER_1000_LIVE_BIRTHS,7,2
PER_1000_POP,2,2
PER_1000_UNINFECTED_POP,13,1
PER_100_POP,3,2
PT,485,92
RO,133,2
T,34,3
T_KM,4,1
T_PER_HA,1,1
TCO2E,1,1
USD,15,6
USD_PER_M3,1,1
W_PER_CAPITA,2,2
